place,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Elbert County,3101,5331,6980,6580,5460,4477,3708,3903,6850,9646,19872,23086
perc,0.005745785,0.00667189,0.007428464,0.006352633,0.004860696,0.003378641,0.002114089,0.001768256,0.002370272,0.002928004,0.00462004,0.004590396
