place,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Cheyenne County,501,3687,3746,3723,2964,3453,2789,2396,2153,2397,2231,1836
perc,0.000928293,0.00461438,0.00398668,0.003594354,0.002638663,0.002605863,0.001590128,0.001085509,0.000744992,0.0007276,0.000518685,0.000365068
